x,f(x)
1,0E-8
1.1,0.13750352
1.2,0.26303445
1.3,0.37851167
1.4,0.48542687
1.5,0.58496257
1.6,0.67807202
1.7,0.76553481
1.8,0.84799699
1.9,0.92599957
2.0,1.00000000
2.1,1.07038939
2.2,1.13750367
2.3,1.20163403
2.4,1.26303455
2.5,1.32192821
2.6,1.37851182
2.7,1.43295957
2.8,1.48542697
2.9,1.53605314
3.0,1.58496256
3.1,1.63226835
3.2,1.67807211
3.3,1.72246626
3.4,1.76553494
3.5,1.80735510
3.6,1.84799717
3.7,1.88752546
3.8,1.92599963
3.9,1.96347443
4.0,2.00000012
4.1,2.03562408
4.2,2.07038958
4.3,2.10433695
4.4,2.13750377
4.5,2.16992522
4.6,2.20163415
4.7,2.23266098
4.8,2.26303465
4.9,2.29278210
5.0,2.32192823
5.1,2.35049747
5.2,2.37851192
5.3,2.40599268
5.4,2.43295968
5.5,2.45943189
5.6,2.48542715
5.7,2.51096216
5.8,2.53605316
5.9,2.56071534
6.0,2.58496267
6.1,2.60880950
6.2,2.63226854
6.3,2.65535217
6.4,2.67807224
6.5,2.70044001
6.6,2.72246639
6.7,2.74416138
6.8,2.76553501
6.9,2.78659676
7.0,2.80735513
7.1,2.82781930
7.2,2.84799724
7.3,2.86789683
7.4,2.88752563
7.5,2.90689093
7.6,2.92599979
7.7,2.94485876
7.8,2.96347439
7.9,2.98185309
8.0,3.00000023
8.1,3.01792221
8.2,3.03562426
8.3,3.05311171
8.4,3.07038972
8.5,3.08746320
8.6,3.10433705
8.7,3.12101573
8.8,3.13750382
8.9,3.15380577
9.0,3.16992523
9.1,3.18586687
9.2,3.20163422
9.3,3.21723111
9.4,3.23266114
9.5,3.24792789
9.6,3.26303482
9.7,3.27798510
9.8,3.29278206
9.9,3.30742895
10.0,3.32192836
10.1,3.33628374
10.2,3.35049762
10.3,3.36457283
10.4,3.37851203
10.5,3.39231780
10.6,3.40599279
10.7,3.41953927
10.8,3.43295973
10.9,3.44625667
11.0,3.45943189
11.1,3.47248812
11.2,3.48542721
11.3,3.49825129
11.4,3.51096235
11.5,3.52356236
11.6,3.53605334
11.7,3.54843702
11.8,3.56071527
11.9,3.57289013
12.0,3.58496279
12.1,3.59693552
12.2,3.60880962
12.3,3.62058687
12.4,3.63226867
12.5,3.64385660
12.6,3.65535228
12.7,3.66675699
12.8,3.67807222
12.9,3.68929962
13.0,3.70044000
13.1,3.71149530
13.2,3.72246641
13.3,3.73335482
13.4,3.74416154
13.5,3.75488794
13.6,3.76553522
13.7,3.77610440
13.8,3.78659669
13.9,3.79701344
14.0,3.80735522
14.1,3.81762366
14.2,3.82781941
14.3,3.83794372
14.4,3.84799735
14.5,3.85798143
14.6,3.86789693
14.7,3.87774465
14.8,3.88752563
14.9,3.89724091
15.0,3.90689090
15.1,3.91647705
15.2,3.92599983
15.3,3.93546022
15.4,3.94485887
15.5,3.95419675
15.6,3.96347459
15.7,3.97269305
15.8,3.98185301
15.9,3.99095535
16.0,4.00000032
16.1,4.00898920
16.2,4.01792234
16.3,4.02680056
16.4,4.03562434
16.5,4.04439456
16.6,4.05311182
16.7,4.06177661
16.8,4.07038969
16.9,4.07895186
17.0,4.08746315
17.1,4.09592484
17.2,4.10433711
17.3,4.11270064
17.4,4.12101585
17.5,4.12928346
17.6,4.13750401
17.7,4.14567787
17.8,4.15380571
17.9,4.16188821
18.0,4.16992532
18.1,4.17791820
18.2,4.18586697
18.3,4.19377227
18.4,4.20163429
18.5,4.20945380
18.6,4.21723118
18.7,4.22496678
18.8,4.23266113
18.9,4.24031485
19.0,4.24792786
19.1,4.25550113
19.2,4.26303482
19.3,4.27052947
19.4,4.27798517
19.5,4.28540266
19.6,4.29278222
19.7,4.30012415
19.8,4.30742892
19.9,4.31469705
20.0,4.32192846
20.1,4.32912400
20.2,4.33628382
20.3,4.34340836
20.4,4.35049766
20.5,4.35755244
20.6,4.36457291
20.7,4.37155931
20.8,4.37851203
20.9,4.38543156
21.0,4.39231780
21.1,4.39917150
21.2,4.40599281
21.3,4.41278208
21.4,4.41953933
21.5,4.42626520
21.6,4.43295988
21.7,4.43962359
21.8,4.44625663
21.9,4.45285950
22.0,4.45943200
22.1,4.46597487
22.2,4.47248822
22.3,4.47897236
22.4,4.48542726
22.5,4.49185355
22.6,4.49825135
22.7,4.50462085
22.8,4.51096232
22.9,4.51727623
23.0,4.52356234
23.1,4.52982136
23.2,4.53605337
23.3,4.54225862
23.4,4.54843709
23.5,4.55458928
23.6,4.56071544
23.7,4.56681562
23.8,4.57289006
23.9,4.57893926
24.0,4.58496291
24.1,4.59096165
24.2,4.59693562
24.3,4.60288498
24.4,4.60880972
24.5,4.61471027
24.6,4.62058690
24.7,4.62643962
24.8,4.63226862
24.9,4.63807439
25.0,4.64385661
25.1,4.64961587
25.2,4.65535230
25.3,4.66106603
25.4,4.66675708
25.5,4.67242577
25.6,4.67807241
25.7,4.68369694
25.8,4.68929956
25.9,4.69488075
26.0,4.70044014
26.1,4.70597832
26.2,4.71149539
26.3,4.71699145
26.4,4.72246652
26.5,4.72792089
26.6,4.73335486
26.7,4.73876834
26.8,4.74416150
26.9,4.74953483
27.0,4.75488794
27.1,4.76022138
27.2,4.76553523
27.3,4.77082961
27.4,4.77610450
27.5,4.78136016
27.6,4.78659688
27.7,4.79181457
27.8,4.79701337
27.9,4.80219377
28.0,4.80735537
28.1,4.81249867
28.2,4.81762374
28.3,4.82273071
28.4,4.82781954
28.5,4.83289046
28.6,4.83794374
28.7,4.84297931
28.8,4.84799728
28.9,4.85299814
29.0,4.85798144
29.1,4.86294769
29.2,4.86789694
29.3,4.87282933
29.4,4.87774476
29.5,4.88264349
29.6,4.88752578
29.7,4.89239151
29.8,4.89724080
29.9,4.90207415
30.0,4.90689106
